ID1,ID2,Similarity
1347,21567,1.0
1348,3088,1.0
1348,4828,1.0
1348,21568,1.0
1349,3089,1.0
1349,4829,1.0
1349,21569,1.0
1350,3090,1.0
1350,4830,1.0
1350,21570,1.0
1351,3091,1.0
1351,4831,1.0
1351,21571,1.0
1352,3062,0.95
1352,3092,1.0
1352,4802,0.95
1352,4832,1.0
1352,21542,0.95
1352,21572,1.0
1353,3093,1.0
1353,4833,1.0
1353,21573,1.0
1354,3094,1.0
1354,4834,1.0
1354,21574,1.0
1355,3095,1.0
1355,4835,1.0
1355,21575,1.0
1356,3096,1.0
1356,4836,1.0
1356,21576,1.0
1357,3097,1.0
1357,4837,1.0
1357,21577,1.0
1358,3098,1.0
1358,4838,1.0
1358,21578,1.0
1359,3099,1.0
1359,4839,1.0
1359,21579,1.0
1360,3100,1.0
1360,4840,1.0
1360,21580,1.0
1361,3101,1.0
1361,4841,1.0
1361,21581,1.0
1362,3102,1.0
1362,4842,1.0
1362,21582,1.0
1363,3103,1.0
1363,4843,1.0
1363,21583,1.0
1364,3104,1.0
1364,4844,1.0
1364,21584,1.0
1365,3105,1.0
1365,4845,1.0
1365,21585,1.0
1366,3106,1.0
1366,4846,1.0
1366,21586,1.0
1367,3107,1.0
1367,4847,1.0
1367,21587,1.0
1368,3108,1.0
1368,4848,1.0
1368,6588,1.0
1368,21588,1.0
1369,3109,1.0
1369,4849,1.0
1369,6589,1.0
1369,21589,1.0
1370,3110,1.0
1370,4850,1.0
1370,6590,1.0
1370,21590,1.0
1371,3111,1.0
1371,4851,1.0
1371,6591,1.0
1371,21591,1.0
1372,3112,1.0
1372,4852,1.0
1372,6592,1.0
1372,21592,1.0
1373,3113,1.0
1373,4853,1.0
1373,6593,1.0
1373,21593,1.0
1374,3114,1.0
1374,4854,1.0
1374,6594,1.0
1375,3115,1.0
1375,4855,1.0
1375,6595,1.0
1376,3116,1.0
1376,4856,1.0
1376,6596,1.0
1377,3117,1.0
1377,4857,1.0
1377,6597,1.0
1378,3118,1.0
1378,4858,1.0
1378,6598,1.0
1379,3119,1.0
1379,4859,1.0
1379,6599,1.0
1380,3120,1.0
1380,4860,1.0
1380,6600,1.0
1380,8731,0.675
1380,10471,0.675
1380,12211,0.675
1380,13951,0.675
1381,3121,1.0
1381,4861,1.0
1381,6601,1.0
1382,3122,1.0
1382,4862,1.0
1382,6602,1.0
1383,3064,1.0
1383,3123,1.0
1383,4804,1.0
1383,4863,1.0
1383,6603,1.0
1383,21544,1.0
1384,3124,1.0
1384,4864,1.0
1384,6604,1.0
1385,3125,1.0
1385,4865,1.0
1385,6605,1.0
1386,3126,1.0
1386,4866,1.0
1386,6606,1.0
1387,3127,1.0
1387,4867,1.0
1387,6607,1.0
1388,3128,1.0
1388,4868,1.0
1388,6608,1.0
1389,3129,1.0
1389,4869,1.0
1389,6609,1.0
1390,3130,1.0
1390,4870,1.0
1390,6610,1.0
1391,3131,1.0
1391,4871,1.0
1391,6611,1.0
1392,3132,1.0
1392,4872,1.0
1392,6612,1.0
1393,3133,1.0
1393,4873,1.0
1393,6613,1.0
1394,3134,1.0
1394,4874,1.0
1394,6614,1.0
1395,3135,1.0
1395,4875,1.0
1395,6615,1.0
1396,3136,1.0
1396,4876,1.0
1396,6616,1.0
1397,3137,1.0
1397,4877,1.0
1397,6617,1.0
1398,3138,1.0
1398,4878,1.0
1398,6618,1.0
1399,3139,1.0
1399,4879,1.0
1399,6619,1.0
1400,3140,1.0
1400,4880,1.0
1400,6620,1.0
1401,3141,1.0
1401,4881,1.0
1401,6621,1.0
1402,3142,1.0
1402,4882,1.0
1402,6622,1.0
1403,3143,1.0
1403,4883,1.0
1403,6623,1.0
1404,3144,1.0
1404,4884,1.0
1404,6624,1.0
1405,3145,1.0
1405,4885,1.0
1405,6625,1.0
1406,3146,1.0
1406,4886,1.0
